,KABKOT,month,year,time,longitude,latitude,tb,pm2p5,pm10,so2
88,JAKARTA SELATAN,5,2019,2019-05-01,106.8083333333333,-6.283333333333336,698,66.79566091843392,94.9440690758674,132.52547327955355
89,JAKARTA SELATAN,6,2019,2019-06-01,106.8083333333333,-6.283333333333336,586,69.84928064588235,99.2967346125097,132.3346489431229
90,JAKARTA SELATAN,7,2019,2019-07-01,106.8083333333333,-6.283333333333336,751,58.79609640392553,83.72563612783408,119.4265243157743
91,JAKARTA SELATAN,8,2019,2019-08-01,106.8083333333333,-6.283333333333336,720,57.62350857215456,81.41391675634996,103.2789549036113
92,JAKARTA SELATAN,9,2019,2019-09-01,106.8083333333333,-6.283333333333336,718,56.868045224102765,80.63093958683008,100.09448312809565
93,JAKARTA SELATAN,10,2019,2019-10-01,106.8083333333333,-6.283333333333336,762,61.81777339896362,86.91495607177757,97.35196334469384
94,JAKARTA SELATAN,11,2019,2019-11-01,106.8083333333333,-6.283333333333336,570,55.61786892766602,78.52277504759464,92.93228233497912
95,JAKARTA SELATAN,12,2019,2019-12-01,106.8083333333333,-6.283333333333336,545,53.43417192419755,75.83292738693687,92.02037570384648
144,JAKARTA SELATAN,1,2020,2020-01-01,106.8083333333333,-6.283333333333336,765,42.21472247076552,60.38526644146368,83.32883055629675
145,JAKARTA SELATAN,2,2020,2020-02-01,106.8083333333333,-6.283333333333336,655,41.41027711845884,59.47051334843764,76.26642316130055
146,JAKARTA SELATAN,3,2020,2020-03-01,106.8083333333333,-6.283333333333336,678,50.405126906917324,71.77435969513759,101.1248040484599
147,JAKARTA SELATAN,4,2020,2020-04-01,106.8083333333333,-6.283333333333336,396,55.20834781928383,78.51534342684398,118.3143939001132
148,JAKARTA SELATAN,5,2020,2020-05-01,106.8083333333333,-6.283333333333336,342,60.42035108776352,85.94158546297179,132.53259573664664
149,JAKARTA SELATAN,6,2020,2020-06-01,106.8083333333333,-6.283333333333336,452,63.97635788049397,91.13772840605289,128.82121321903784
150,JAKARTA SELATAN,7,2020,2020-07-01,106.8083333333333,-6.283333333333336,455,65.29303786528912,93.09944003869576,134.93089633402346
151,JAKARTA SELATAN,8,2020,2020-08-01,106.8083333333333,-6.283333333333336,432,61.74752201894222,87.89953724392588,118.82724426002198
152,JAKARTA SELATAN,9,2020,2020-09-01,106.8083333333333,-6.283333333333336,363,57.52768183548539,81.72327157712233,111.08139417905012
153,JAKARTA SELATAN,10,2020,2020-10-01,106.8083333333333,-6.283333333333336,324,59.642838601270746,84.41911898909292,108.09977926603902
154,JAKARTA SELATAN,11,2020,2020-11-01,106.8083333333333,-6.283333333333336,310,52.706075518808575,74.81663949019787,101.98471722707428
155,JAKARTA SELATAN,12,2020,2020-12-01,106.8083333333333,-6.283333333333336,268,31.99500141770568,45.92065737138679,73.23296545061125
204,JAKARTA SELATAN,1,2021,2021-01-01,106.8083333333333,-6.283333333333336,404,41.806706950629774,60.0138294861963,83.28718270838553
205,JAKARTA SELATAN,2,2021,2021-02-01,106.8083333333333,-6.283333333333336,407,39.51856382380618,56.770450261743626,70.42346398485567
206,JAKARTA SELATAN,3,2021,2021-03-01,106.8083333333333,-6.283333333333336,513,49.68305248937467,70.64742858127894,106.88166776784456
207,JAKARTA SELATAN,4,2021,2021-04-01,106.8083333333333,-6.283333333333336,516,64.11036947737466,90.85940824654034,127.27402749446276
208,JAKARTA SELATAN,5,2021,2021-05-01,106.8083333333333,-6.283333333333336,422,69.3018236278919,98.53437449673288,137.20469396810267
209,JAKARTA SELATAN,6,2021,2021-06-01,106.8083333333333,-6.283333333333336,460,64.02475029649415,90.926540923736,126.23731160226832
210,JAKARTA SELATAN,7,2021,2021-07-01,106.8083333333333,-6.283333333333336,295,67.68742166269483,96.2923016977092,136.65224970902318
211,JAKARTA SELATAN,8,2021,2021-08-01,106.8083333333333,-6.283333333333336,454,67.48722358235925,95.71091690554871,120.00255632421266
212,JAKARTA SELATAN,9,2021,2021-09-01,106.8083333333333,-6.283333333333336,530,60.489308063078816,85.67855679252308,111.17213341814733
213,JAKARTA SELATAN,10,2021,2021-10-01,106.8083333333333,-6.283333333333336,629,63.0986094170749,89.34822254342392,109.724059970637
214,JAKARTA SELATAN,11,2021,2021-11-01,106.8083333333333,-6.283333333333336,666,43.85942539893593,62.6113705375842,92.02743319796592
215,JAKARTA SELATAN,12,2021,2021-12-01,106.8083333333333,-6.283333333333336,620,45.70104759272248,65.06885183752125,93.08632484010086
264,JAKARTA SELATAN,1,2022,2022-01-01,106.8083333333333,-6.283333333333336,907,43.86629603016038,62.14834563768113,86.39050619407857
