,KABKOT,month,year,time,longitude,latitude,tb,rh,tp
160,JAKARTA TIMUR,5,2022,2022-05-01,106.90999999999995,-6.2600000000000025,841,83.78887329101576,4.585067585110645
161,JAKARTA TIMUR,6,2022,2022-06-01,106.90999999999995,-6.2600000000000025,1064,83.87068237304692,5.138857521116717
162,JAKARTA TIMUR,7,2022,2022-07-01,106.90999999999995,-6.2600000000000025,1041,81.49351562500004,4.500942073762778
163,JAKARTA TIMUR,8,2022,2022-08-01,106.90999999999995,-6.2600000000000025,1101,79.8287866210939,2.700824588537291
164,JAKARTA TIMUR,9,2022,2022-09-01,106.90999999999995,-6.2600000000000025,1125,80.55247070312515,4.986750133335822
165,JAKARTA TIMUR,10,2022,2022-10-01,106.90999999999995,-6.2600000000000025,1210,83.16368286132808,10.011915367096536
166,JAKARTA TIMUR,11,2022,2022-11-01,106.90999999999995,-6.2600000000000025,1125,82.58657226562502,6.89838689565641
167,JAKARTA TIMUR,12,2022,2022-12-01,106.90999999999995,-6.2600000000000025,1203,83.61429199218743,8.883232079446069
48,JAKARTA UTARA,1,2020,2020-01-01,106.89166666666664,-6.125000000000004,464,85.75088806152355,15.410698428749733
49,JAKARTA UTARA,2,2020,2020-02-01,106.89166666666664,-6.125000000000004,413,86.03388163248701,14.572458118199991
50,JAKARTA UTARA,3,2020,2020-03-01,106.89166666666664,-6.125000000000004,452,84.30428263346361,10.55003674700876
51,JAKARTA UTARA,4,2020,2020-04-01,106.89166666666664,-6.125000000000004,269,84.19154663085938,7.541015626241768
52,JAKARTA UTARA,5,2020,2020-05-01,106.89166666666664,-6.125000000000004,233,83.45987141927101,6.261203624307982
53,JAKARTA UTARA,6,2020,2020-06-01,106.89166666666664,-6.125000000000004,283,80.86588236490901,2.03261410196624
54,JAKARTA UTARA,7,2020,2020-07-01,106.89166666666664,-6.125000000000004,318,78.08133850097614,1.5261613453428435
55,JAKARTA UTARA,8,2020,2020-08-01,106.89166666666664,-6.125000000000004,238,76.05557657877559,1.2772236391902736
56,JAKARTA UTARA,9,2020,2020-09-01,106.89166666666664,-6.125000000000004,191,75.2931284586585,1.7758747749030948
57,JAKARTA UTARA,10,2020,2020-10-01,106.89166666666664,-6.125000000000004,173,78.27271931966133,5.612612813711195
58,JAKARTA UTARA,11,2020,2020-11-01,106.89166666666664,-6.125000000000004,195,81.27635904947913,5.392927216986578
59,JAKARTA UTARA,12,2020,2020-12-01,106.89166666666664,-6.125000000000004,201,83.09985453287766,9.142884202301442
108,JAKARTA UTARA,1,2021,2021-01-01,106.89166666666664,-6.125000000000004,303,85.72125549316411,10.735750676443102
109,JAKARTA UTARA,2,2021,2021-02-01,106.89166666666664,-6.125000000000004,260,86.66602071126296,15.811612463245424
110,JAKARTA UTARA,3,2021,2021-03-01,106.89166666666664,-6.125000000000004,310,82.90529785156252,7.718819770961914
111,JAKARTA UTARA,4,2021,2021-04-01,106.89166666666664,-6.125000000000004,372,81.39601440429686,5.310250930488067
112,JAKARTA UTARA,5,2021,2021-05-01,106.89166666666664,-6.125000000000004,284,81.15157267252613,3.568791927148975
113,JAKARTA UTARA,6,2021,2021-06-01,106.89166666666664,-6.125000000000004,275,83.43988037109393,4.9187243233124205
114,JAKARTA UTARA,7,2021,2021-07-01,106.89166666666664,-6.125000000000004,169,78.2942576090494,1.6541043172279926
115,JAKARTA UTARA,8,2021,2021-08-01,106.89166666666664,-6.125000000000004,337,78.58107808430991,4.572350190331759
116,JAKARTA UTARA,9,2021,2021-09-01,106.89166666666664,-6.125000000000004,443,79.20995686848964,4.857002949963134
117,JAKARTA UTARA,10,2021,2021-10-01,106.89166666666664,-6.125000000000004,432,79.24429626464833,4.442771753917042
118,JAKARTA UTARA,11,2021,2021-11-01,106.89166666666664,-6.125000000000004,475,81.30352071126306,8.136556434134347
119,JAKARTA UTARA,12,2021,2021-12-01,106.89166666666664,-6.125000000000004,450,83.48794759114588,8.356442973017446
168,JAKARTA UTARA,1,2022,2022-01-01,106.89166666666664,-6.125000000000004,766,83.47285868326817,6.727245748042898
169,JAKARTA UTARA,2,2022,2022-02-01,106.89166666666664,-6.125000000000004,396,83.3881561279298,6.805269876494901
170,JAKARTA UTARA,3,2022,2022-03-01,106.89166666666664,-6.125000000000004,585,82.65115763346354,5.0209857585528646
171,JAKARTA UTARA,4,2022,2022-04-01,106.89166666666664,-6.125000000000004,578,81.80991719563805,5.804147701710427
172,JAKARTA UTARA,5,2022,2022-05-01,106.89166666666664,-6.125000000000004,548,83.25731201171881,4.492542843023923
173,JAKARTA UTARA,6,2022,2022-06-01,106.89166666666664,-6.125000000000004,606,83.22667134602877,4.82623031983771
174,JAKARTA UTARA,7,2022,2022-07-01,106.89166666666664,-6.125000000000004,595,81.37550760904963,4.51284249002763
175,JAKARTA UTARA,8,2022,2022-08-01,106.89166666666664,-6.125000000000004,636,79.77985432942707,2.4352472896377764
176,JAKARTA UTARA,9,2022,2022-09-01,106.89166666666664,-6.125000000000004,712,80.35657450358087,4.522162129481786
177,JAKARTA UTARA,10,2022,2022-10-01,106.89166666666664,-6.125000000000004,715,82.7173522949219,8.589306309198298
178,JAKARTA UTARA,11,2022,2022-11-01,106.89166666666664,-6.125000000000004,685,82.04586181640617,5.543475951999294
179,JAKARTA UTARA,12,2022,2022-12-01,106.89166666666664,-6.125000000000004,671,83.00658772786463,7.970699879030204
